rating,tel,name,url,price,hours,address,holiday
one star,TEL03-5568-4411,Sushi Kanesaka,n/a,"PriceLunch = menu &yen5;,400-16,200Dinner = menu &yen27;,000","Opening hours, last ordersLunch = 11:30-14:00 L.O.13:00Dinner = 17:00-22:00 L.O.21:00","B1F, Ginza Misuzu Bldg, 8-10-3 Ginza, Chuo-ku, Tokyo",n/a
Bib Gourmand,TEL03-3631-2529,Chanko Kawasaki,n/a,"PriceDinner = menu &yen5;,240carte &yen4;,000-6,000","Opening hours, last ordersDinner = 17:00-22:00 L.O.21:00Saturday 17:00-21:30 L.O.20:30","2-13-1 Ryogoku, Sumida-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
three stars,TEL03-5786-0150,Kanda,URLhttp://www.nihonryori-kanda.com,"PriceDinner = menu &yen21;,600-32,400Service charge = 10%","Opening hours, last ordersDinner = 17:30-22:00 (L.O.)","1F, Calm Motoazabu, 3-6-34 Motoazabu, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
three stars,TEL03-6277-0090,Quintessence,URLhttp://www.quintessence.jp,"PriceLunch = menu &yen10;,260Dinner = menu &yen21;,600Service charge = 10%","Opening hours, last ordersLunch = 12:00-15:00 L.O.13:00Dinner = 18:30-23:00 L.O.20:00","1F, Garden City Shinagawa Gotenyama, 6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo",Annual and weekly closingClosed Sunday
one star,TEL03-3505-0728,Kien,n/a,"PriceLunch = menu weekdays &yen1;,700-9,288Saturday & Public Holiday &yen4;,536-9,288Dinner = menu &yen12;,960-16,200Service charge = 10% (except &yen1;,700 set menu)","Opening hours, last ordersLunch = 12:00-14:30 L.O.13:00Dinner = 18:00-23:00 L.O.21:30","2-18-8 Akasaka, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday except before a Public Holiday and Public Holiday Mondays
two stars,TEL03-6313-5599,Nishiazabu Kikuchi,n/a,"PriceDinner = menu &yen10;,800-16,200","Opening hours, last ordersDinner = 18:00-21:30 (L.O.)","2F, Minatoya Sohonten Bldg, 2-17-17 Nishiazabu, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday
two stars,TEL03-3568-6055,Akasaka Kikunoi,URLhttp://www.kikunoi.jp,"PriceLunch = menu &yen10;,800Dinner = menu &yen17;,280-32,400Service charge = 10% (tatami room for dinner 15%)","Opening hours, last ordersLunch = Tuesday-Saturday 12:00-13:00 (L.O.)Dinner = 17:00-20:00 (L.O.)","6-13-8 Akasaka, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and 1st & 3rd Monday of the month
one star,TEL03-3505-1323,Akasaka Kitafuku,URLhttp://www.kanikitafuku.com,"PriceDinner = menu &yen21;,600-35,640Service charge = 10%","Opening hours, last ordersDinner = 17:00-24:00 L.O.22:00","7F, Kokusai Amano Bldg, 3-13-6 Akasaka, Minato-ku, Tokyo",n/a
two stars,TEL03-3707-6355,Sushi Kimura,n/a,"PriceLunch = menu &yen23;,760Dinner = menu &yen23;,760","Opening hours, last ordersLunch = Wednesday & Sunday 12:00-14:00Dinner = 17:30-22:00","3-21-8 Tamagawa, Setagaya-ku, Tokyo",Annual and weekly closingClosed Monday
two stars,TEL03-5321-3915,Cuisine[s] Michel Troisgros,URLhttp://www.troisgros.jp,"PriceLunch = menu weekdays &yen5;,346-16,632weekends &yen7;,128-16,632carte &yen15;,000-25,000Dinner = menu &yen16;,632-24,948carte &yen15;,000-25,000","Opening hours, last ordersLunch = 12:00-13:30 (L.O.)Dinner = 18:00-20:30 (L.O.)","1F, Hyatt Regency, 2-7-2 Nishishinjuku, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Tuesday except Public Holidays and Wednesday except Public Holidays
Bib Gourmand,TEL03-3269-3233,Kyorakutei,URLhttp://www.kyourakutei.com,"PriceLunch = carte &yen1;,500-5,000Dinner = carte &yen1;,500-5,000","Opening hours, last ordersLunch = Tuesday-Saturday 11:30-15:00 L.O.14:30Dinner = 17:00-21:00 L.O.20:30","1F, Kagurazaka-kan, 3-6 Kagurazaka, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-5244-9523,Brasserie Gyoran,URLhttp://gyoran.com,"PriceLunch = menu weekdays &yen1;,080-3,024Saturday & Public Holidays &yen1;,944-4,104Dinner menu &yen4;,968-7,020carte &yen5;,000-14,000","Opening hours, last ordersLunch = 11:30-14:00 (L.O.)Saturday & Public Holidays 12:00-14:30 (L.O.)Dinner = 18:00-23:00 L.O.22:00Saturday & Public Holidays 17:00-22:00 L.O.21:00","2-1-9 Hachobori, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday
one star,TEL03-3429-1344,KirakuRestaurant promoted from 1 to 2 stars or 2 to 3 stars,n/a,"PriceLunch = menu &yen4;,320-9,720carte &yen5;,000-10,000Dinner = menu &yen4;,320-9,720carte &yen5;,000-10,000Seat charge = &yen324;","Opening hours, last ordersLunch = weekends 11:30-13:30 (L.O.)Dinner = 17:30-21:30 (L.O.)Sunday & Public Holidays 17:30-20:30 (L.O.)","1-12-12 Kyodo, Setagaya-ku, Tokyo",Annual and weekly closingClosed Wednesday and 3rd Tuesday
Bib Gourmand,TEL03-3479-1911,Seizoroizaka Soba Ginsei,URLhttp://sobaginsei.com,"PriceLunch = carte &yen800-2;,000Dinner = menu &yen4;,320-6,480carte &yen2;,500-4,000Seat charge = &yen648; (carte for dinner)","Opening hours, last ordersLunch = 11:45-14:15 L.O.13:45 except Wednesday & SaturdayDinner = 18:00-22:15 L.O.21:15Saturday 18:00-21:30 L.O.21:00","1F, Hilltop Jingumae, 2-3-10 Jingumae, Shibuya-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-5926-7566,Menya Kintoki,n/a,"PriceLunch = carte &yen780-1;,500Dinner = carte &yen780-1;,500","Opening hours, last ordersLunch = 11:00-14:00 (L.O.) or when the dayâ€™s stock runs outDinner = 17:30-20:30 (L.O.) or when the dayâ€™s stock runs out","1-2-7 Kotakecho, Nerima-ku, Tokyo",Annual and weekly closingClosed Monday and 2nd & 4th Tuesday of the month
two stars,TEL03-5422-7612,Tempura Ginya,n/a,"PriceDinner = menu &yen16;,200","Opening hours, last ordersDinner = 18:00-21:30","B1F, Cosmo Shirokane Hills, 5-17-9 Shirokanedai, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-5978-4557,Ku,n/a,"PriceDinner = carte &yen3;,000-5,000Seat charge = &yen400-500;","Opening hours, last ordersDinner = 18:00-22:00 (L.O.) or when the dayâ€™s stock runs out","1-48-9 Minamiotsuka, Toshima-ku, Tokyo",Annual and weekly closingClosed Monday and 1st & 3rd Sunday of the month
Bib Gourmand,TEL03-3681-9495,Ristorante Cucina Shige,URLhttp://www.cucinashige.com,"PriceLunch = menu &yen1;,000-7,000Dinner = menu &yen3;,300-7,000carte &yen4;,000-6,000Seat charge = &yen350; (dinner)","Opening hours, last ordersLunch = 11:30-14:00 (L.O.)Dinner = 18:00-22:30 (L.O.)","1F, Popeye Bldg, 2-41-16 Ojima, Koto-ku, Tokyo",Annual and weekly closingClosed Monday
two stars,TEL03-3436-3211,The Crescent,URLhttp://www.restaurantcrescent.com,"PriceLunch = menu &yen12;,960-32,400Dinner = menu &yen19;,440-32,400Service charge = 10%","Opening hours, last ordersLunch = Saturday 12:00-15:30 L.O.13:00Dinner = 17:30-22:30 L.O.20:30","1-8-20 Shibakoen, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-3573-6577,Sushi Kuwano,n/a,"PriceDinner = menu &yen25;,000-30,000","Opening hours, last ordersDinner = 17:00-23:00 L.O.22:00","3F, Hiratsuka Bldg, 8-7-6 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-6438-1185,Che Pacchia,n/a,"PriceDinner = carte &yen4;,000-8,000Seat charge = &yen324-540;","Opening hours, last ordersDinner = 18:00-1:00 (L.O.)","4F, Manivia Bldg, 2-5-1 Azabujuban, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holiday Mondays
Bib Gourmand,TEL03-5428-5705,Kotaro,n/a,"PriceDinner = menu &yen4;,320carte &yen5;,000-6,000Seat charge = &yen432;","Opening hours, last ordersDinner = 18:00-23:00 (L.O.)","1F, Mikasa Bldg, 28-2 Sakuragaokacho, Shibuya-ku, Tokyo",Annual and weekly closingClosed Sunday and 1st Monday
one star,TEL03-3407-3033,Kogetsu,n/a,"PriceDinner = menu &yen10;,800-17,280Service charge = 10%","Opening hours, last ordersDinner = 18:00-22:00 L.O.20:00","5-50-10 Jingumae, Shibuya-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
two stars,TEL03-6215-9544,Ginza Koju,URLhttp://www.kojyu.jp,"PriceLunch = menu &yen21;,600Dinner = menu &yen27;,000Service charge = 10%","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-21:30 (L.O.)","4F, Carioca Bldg, 5-4-8 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-3408-8865,Ryoriya Kodama,URLhttp://www.ryouriyakodama.com,"PriceDinner = menu &yen21;,600Service charge = 10%Private room fee = 10%","Opening hours, last ordersDinner = 18:00-22:00 L.O.20:00","2F, Nishiazabu 1106, 1-10-6 Nishiazabu, Minato-ku, Tokyo",n/a
Bib Gourmand,TEL03-3993-8808,Ramen Gottsu,n/a,"PriceLunch = carte &yen730-1;,500Dinner = carte &yen730-1;,500","Opening hours, last ordersLunch = 11:00-15:00 (L.O.)Dinner = Tuesday-Saturday 18:00-21:00 (L.O.)","1-29-16 Nerima, Nerima-ku, Tokyo",Annual and weekly closingClosed Monday
Bib Gourmand,TEL03-3816-0997,Konakara Honten,URLhttp://www.konakara.com,"PriceDinner = carte &yen3;,000-4,500Seat charge = &yen1;,080","Opening hours, last ordersDinner = 18:00-22:00 (L.O.)","1-9-6 Yushima, Bunkyo-ku, Tokyo",Annual and weekly closingClosed Sunday
three stars,TEL03-5225-0807,Kohaku,n/a,"PriceDinner = menu &yen23;,760Service charge = 5%","Opening hours, last ordersDinner = 17:30-24:00 L.O.22:30Saturday 17:00-24:00 L.O.22:30","3-4 Kagurazaka, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-5466-7728,Goblin,URLhttp://www.goblin.co.jp,"PriceDinner = carte &yen4;,500-6,000Seat charge = &yen500;","Opening hours, last ordersDinner = 18:00-2:00 L.O.1:00","2F, Court Azabu, 2-13-19 Nishiazabu, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday except Public Holidays and Public Holiday Mondays
Bib Gourmand,TEL03-3505-3345,Comme Ã  la Maison,n/a,"PriceDinner = carte &yen4;,000-6,000","Opening hours, last ordersDinner = 18:00-23:00 (L.O.)","6-4-15 Akasaka, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday
two stars,TEL03-3235-3332,Kaiseki Komuro,n/a,"PriceLunch = menu &yen8;,640-12,960Dinner = menu &yen17;,280-86,400Service charge = 10%","Opening hours, last ordersLunch = Tuesday-Saturday 12:00-13:00 (L.O.)Dinner = 18:30-20:00 (L.O.)","13 Wakamiyacho, Shinjuku-ku, TokyoPlan to move in spring 2018 to : 35-4 Wakamiyacho, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
two stars,TEL050-3188-0535,Goryukubo,URLhttp://www.goryu-kubo.com,"PriceDinner = menu &yen25;,000-50,000Service charge = 10% (counter), 15% (private room)","Opening hours, last ordersDinner = 18:00-24:00 L.O.21:00","B1F, Misawa Bldg, 2-15-1 Nishiazabu, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-5468-6481,Ristorante Cortesia,URLhttp://www.r-cortesia.com,"PriceLunch = menu &yen2;,160-5,200Dinner = menu &yen4;,800-8,400carte &yen4;,000-6,000Service charge = 10% (dinner)","Opening hours, last ordersLunch = 11:30-15:30 L.O.14:30Dinner = 18:00-23:00 L.O.22:00","B1F, 5-4-24 Minamiaoyama, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday
Bib Gourmand,TEL03-6804-8794,Concerto,URLhttp://www.uehara-concerto.jp,"PriceLunch = menu &yen2;,800-5,200carte &yen3;,000-5,000Dinner = menu &yen5;,184-6,480carte &yen4;,500-6,000Seat charge = &yen324; (dinner)","Opening hours, last ordersLunch = weekends 11:30-15:00 (L.O.)Dinner = 18:00-23:00 (L.O.)","B1F,BIT Yoyogiuehara, 1-29-5 Uehara, Shibuya-ku, Tokyo",n/a
two stars,TEL03-5568-0923,Tempura Kondo,n/a,"PriceLunch = menu &yen7;,020-9,180Dinner = menu &yen11;,880-19,440","Opening hours, last ordersLunch = 12:00-15:00 L.O.13:30Dinner = 17:00-22:30 L.O.20:30","9F, Sakaguchi Bldg, 5-5-13 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holiday Mondays
three stars,TEL03-3589-4412,Sushi Saito,n/a,"PriceLunch = menu &yen5;,400-16,200Dinner = menu &yen21;,600","Opening hours, last ordersLunch = 12:00-14:00 (L.O.)Dinner = 17:00-22:00 (L.O.)","1F, Ark Hills South Tower, 1-4-5 Roppongi, Minato-ku, Tokyo",n/a
Bib Gourmand,TEL03-3200-2266,Teppanyaki Sakura,n/a,"PriceDinner = menu &yen3;,880-17,600carte &yen4;,000-10,000Seat charge = &yen486;","Opening hours, last ordersDinner = 17:00-23:00 (L.O.)","3-29-7 Nishiwaseda, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Monday
Bib Gourmand,TEL03-5454-3715,Sasagin,n/a,"PriceDinner = menu &yen5;,400carte &yen4;,000-5,500Seat charge = &yen350; (Ã  la carte)","Opening hours, last ordersDinner = 17:00-23:45 L.O.23:00Saturday 17:00-23:15 L.O.22:30","1-32-15 Uehara, Shibuya-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-3507-5501,Shimbashi Sasada,n/a,"PriceDinner = menu &yen16;,200-32,400Service charge = 10%","Opening hours, last ordersDinner = 18:00-21:00 (L.O.)","1F, Precious Court Toranomon, 1-23-7 Nishishimbashi, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-5719-7627,Toriyaki Sasaya,n/a,"PriceDinner = carte &yen2;,000-4,000Seat charge = &yen648;","Opening hours, last ordersDinner = 17:30-23:00 (L.O.)","1-24-6 Meguro, Meguro-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holiday Mondays
one star,TEL03-3543-0404,Sasuga,URLhttp://ginza-sasuga.jp/,"PriceLunch = menu &yen2;,160-9,720carte &yen1;,000-4,000Dinner = menu &yen5;,400-9,720carte &yen1;,000-4,000","Opening hours, last ordersLunch = 11:30-14:00Dinner = 17:30-22:00 L.O.19:30Saturday 17:30-21:00 L.O.18:30","2F, Toni Bldg, 2-13-6 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-6459-5464,Sato,URLhttp://www.wa-satou.com,"PriceLunch = menu weekdays &yen1;,000-8,500weekends &yen1;,500-8,500Dinner = menu &yen4;,300-8,500","Opening hours, last ordersLunch = 11:30-14:00 L.O.13:30Dinner = 17:30-22:00 L.O.21:30","1-59-12 Kitasenzoku, Ota-ku, Tokyo",Annual and weekly closingClosed Wednesday
Bib Gourmand,TEL03-5717-9027,Salez et Poivrez,URLhttp://www.salez-et-poivrez.com,"PriceLunch = menu &yen2;,280-5,000Dinner = menu &yen3;,800-12,800","Opening hours, last ordersLunch = 11:30-15:30 L.O.14:00weekends 12:00-15:30 L.O.14:30Dinner = 18:00-23:00 L.O.21:00weekends 17:30-23:00 L.O.21:00","1F, Sweet Tamagawa, 3-15-14 Tamagawa, Setagaya-ku, Tokyo","Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
two stars,TEL03-3571-4711,Sawada,n/a,"PriceLunch = menu &yen25;,000Dinner = menu &yen35;,000","Opening hours, last ordersLunch = 12:00-14:00Dinner = Tuesday-Friday 18:00-20:30Saturday & Public Holidays 17:00-19:30","3F, MC Bldg, 5-9-19 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Monday
two stars,TEL03-3517-5700,Sant Pau,URLhttp://www.santpau.jp,"PriceLunch = menu &yen7;,560-24,840Dinner = menu &yen20;,520-24,840carte &yen16;,000-20,000Service charge = 10%Private room fee = &yen19;,440 (lunch &yen10;,800)","Opening hours, last ordersLunch = 11:30-15:30 L.O.13:30Dinner = 18:00-23:30 L.O.21:00","Coredo Nihombashi Annex, 1-6-1 Nihombashi, Chuo-ku, Tokyo","Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday) and alternate Tuesdays"
one star,TEL03-6268-9933,Chez Olivier,URLhttp://www.chezolivier.co.jp,"PriceLunch = menu weekdays &yen2;,800-7,500weekends &yen3;,200-7,500Dinner = menu &yen4;,300-13,500carte &yen7;,000-13,000Service charge = 10% (lunch 5%)","Opening hours, last ordersLunch = 11:30-13:30 (L.O.)Dinner = 18:00-21:00 (L.O.)","4-1-10 Kudanminami, Chiyoda-ku, Tokyo",Annual and weekly closingClosed Sunday and 1st Monday
one star,TEL03-3270-8188,Signature,URLhttp://www.mandarinoriental.co.jp/tokyo,"PriceLunch = menu &yen4;,860-12,960carte &yen10;,000-24,000Dinner = menu &yen12;,960-21,600carte &yen10;,000-24,000Service charge = 13%Private room fee = &yen10;,800","Opening hours, last ordersLunch = 11:30-14:30 (L.O.)Dinner = 18:00-22:00 (L.O.)","37F, Mandarin Oriental, 2-1-1 Nihombashi-muromachi, Chuo-ku, Tokyo",n/a
two stars,TEL03-3400-4044,Shigeyoshi,n/a,"PriceLunch = menu &yen7;,560-16,200Dinner = menu &yen21;,800-32,400Private room fee = 10%","Opening hours, last ordersLunch = 12:00-13:30 (L.O.)Dinner = 17:30-22:00 L.O.21:00","1F, Co-op Olympia, 6-35-3 Jingumae, Shibuya-ku, Tokyo","Annual and weekly closingClosed Sunday, Public Holiday Mondays, and Public Holiday Saturdays"
Bib Gourmand,TEL03-5926-6178,Chukasoba Shinagawa,n/a,"PriceLunch = carte &yen800-1;,200Dinner = carte &yen800-1;,200","Opening hours, last ordersLunch = 11:30-15:30Dinner = 18:00-21:00","4-19-14 Nishiikebukuro, Toshima-ku, Tokyo","Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
Bib Gourmand,TEL03-5700-5330,Tonkatsu Jinembo,URLhttp://www.tonkatsu-zinenbou.com,"PriceLunch = carte &yen2;,000-2,500Dinner = carte &yen3;,000-5,000","Opening hours, last ordersLunch = 12:00-15:00Dinner = 17:00-21:00","4-19-24 Kugahara, Ota-ku, Tokyo",Annual and weekly closingClosed Wednesday except Public Holidays
Bib Gourmand,TEL03-6205-4177,Charcut,n/a,"PriceDinner = carte &yen4;,000-6,000Seat charge = &yen324;","Opening hours, last ordersDinner = 17:00-23:30","B1F, Moriya Bldg, 1-11-5 Toranomon, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday
one star,TEL03-5412-7115,Jean-Georges,URLhttp://www.jean-georges-tokyo.jp,"PriceLunch = menu &yen5;,800carte &yen5;,000-6,500Dinner = menu &yen9;,800-19,800carte &yen10;,000-20,000Service charge = 10%","Opening hours, last ordersLunch = 11:00-15:00 L.O.14:00Dinner = 17:00-24:00 L.O.21:30","Roppongi Hills Keyakizakadori, 6-12-4 Roppongi, Minato-ku, Tokyo",n/a
one star,TEL03-5465-0919,Les Chanterelles,URLhttp://www.chanterelle.jp,"PriceLunch = menu &yen3;,888-7,560Dinner = menu &yen5;,184-10,800Seat charge = &yen1;,080 (lunch &yen540;)","Opening hours, last ordersLunch = weekends 12:00-14:00 (L.O.)Dinner = 18:00-21:00 (L.O.)weekends 18:30-21:00 (L.O.)","1F, Avenir Motoyoyogi, 24-1 Motoyoyogicho, Shibuya-ku, Tokyo",Annual and weekly closingClosed Monday
Bib Gourmand,TEL03-3951-3397,Jiyusan,n/a,"PriceLunch = menu &yen2;,000carte &yen900-4;,000Dinner = menu &yen2;,000carte &yen900-4;,000Seat charge = &yen100;","Opening hours, last ordersLunch = 11:30-14:30 L.O.14:00 or when the day's stock runs outSunday & Public Holiday Mondays 11:30-17:00 L.O.16:30Dinner = Tuesday-Saturday 17:30-20:30 L.O.20:00 or when the day's stock runs out","3-1-4 Eharacho, Nakano-ku, Tokyo","Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
two stars,TEL03-6427-5167,Jushu,n/a,"PriceDinner = menu &yen16;,200Service charge = 10%","Opening hours, last ordersDinner = 18:00-24:00","2-16-1 Nishiazabu, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-6450-7818,Shunso,URLhttp://www006.upp.so-net.ne.jp/shunsou/,"PriceDinner = menu &yen5;,184-9,180Service charge = 5%","Opening hours, last ordersDinner = 18:00-21:00 (L.O.)","1F, Dayawardy, 2-5-1 Nozawa, Setagaya-ku, Tokyo",Annual and weekly closingClosed Wednesday except Public Holidays
Bib Gourmand,TEL03-3794-8399,Shunraku,n/a,"PriceDinner = menu &yen4;,500","Opening hours, last ordersDinner = 17:30-23:00","2-13-7 Kamimeguro, Meguro-ku, Tokyo",Annual and weekly closingClosed Sunday
one star,TEL03-3240-0003,Shofukuro,URLhttp://www.shofukuro.jp,"PriceLunch = menu &yen8;,640-27,000Dinner = menu &yen16;,200-27,000Service charge = 10%Private room fee = 1,080/ person","Opening hours, last ordersLunch = 11:30-15:00Dinner = 17:00-23:00Sunday & Public Holidays 17:00-22:00","36F, Marunouchi Bldg, 2-4-1 Marunouchi, Chiyoda-ku, Tokyo",n/a
three stars,TEL03-5424-1347,JoÃ«l Robuchon,URLhttp://www.robuchon.jp/joelrobuchon,"PriceLunch = menu &yen12;,000-45,000Dinner = menu &yen22;,000-45,000Service charge = 12% (Private room 15%)","Opening hours, last ordersLunch = weekends 12:00-16:00 L.O.14:00Dinner = 18:00-24:00 L.O.21:00","Yebisu Garden Place, 1-13-1 Mita, Meguro-ku, Tokyo",n/a
one star,TEL03-3572-4855,Shokuzen Abe,URLhttp://syokuzen-abe.jp,"PriceDinner = menu &yen16;,200-19,440Service charge = 10%","Opening hours, last ordersDinner = 18:30-21:00 (L.O.)","4F, Miyako Bldg, 5-6-10 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday
Bib Gourmand,TEL03-6407-0565,Shodai Kappo Takahashi,URLhttp://takahashi104.com/,"PriceLunch = menu &yen3;,500-7,000Dinner = menu &yen5;,200-18,000carte &yen4;,500-8,000Seat charge = &yen400; (Ã  la carte)","Opening hours, last ordersLunch = 11:30-14:30Dinner = 18:00-23:30 L.O.22:30","B1F, Hanihara Bldg, 2-48-11 Uehara, Shibuya-ku, Tokyo",Annual and weekly closingClosed Monday
one star,TEL03-5447-8889,Gentil H,URLhttp://www.gentil-h.com/,"PriceLunch = menu weekdays &yen3;,400-10,800weekends &yen4;,650-10,800Dinner = menu &yen7;,800-15,800Service charge = 10%","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-21:00 (L.O.)","2F, Gold Forest Bldg, 5-18-17 Shirokanedai, Minato-ku, Tokyo","Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
one star,TEL03-5485-0031,Nishiazabu Sushi Shin,URLhttp://sushi-shin.com,"PriceLunch = menu &yen6;,480-17,280Dinner = menu &yen21;,600-27,000Service charge = 5% (dinner)","Opening hours, last ordersLunch = Wednesday and Friday 12:00-14:00 L.O.13:00weekends 12:00-14:30 L.O.13:30Dinner = 18:00-23:00 L.O.21:30","4-18-20 Nishiazabu, Minato-ku, Tokyo",Annual and weekly closingClosed Monday
one star,TEL03-3428-1415,Zuisetsu,n/a,"PriceLunch = menu &yen1;,620-3,240Dinner = menu &yen7;,560-10,800","Opening hours, last ordersLunch = Monday-Wednesday 11:30-13:45 (L.O.)weekends 12:00-13:45 (L.O.)Dinner = 18:00-20:00 (L.O.)","2F, Dairokuhyuga Bldg, 1-20-13 Umegaoka, Setagaya-ku, Tokyo",Annual and weekly closingClosed Thursday
Bib Gourmand,TEL03-3844-5529,Sugita,n/a,"PriceLunch = carte &yen2;,600-4,500Dinner = carte &yen2;,600-4,500","Opening hours, last ordersLunch = 11:30-14:30 L.O.13:30 or when the dayâ€™s stock runs outDinner = 17:00-21:00 L.O.20:15 or when the dayâ€™s stock runs out","3-8-3 Kotobuki, Taito-ku, Tokyo",Annual and weekly closingClosed Thursday and 3rd Wednesday
three stars,TEL03-3535-3600,Sukiyabashi Jiro Honten,URLhttp://www.sushi-jiro.jp,"PriceLunch = menu &yen32;,400Dinner = menu &yen32;,400","Opening hours, last ordersLunch = 11:30-14:00Dinner = Monday-Friday 17:30-20:30","B1F, Tsukamoto Sozan Bldg, 4-2-15 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
two stars,TEL03-5413-6626,Sukiyabashi Jiro Roppongiten,n/a,"PriceLunch = menu &yen18;,400Dinner = menu &yen25;,900","Opening hours, last ordersLunch = 11:30-14:00Dinner = 17:30-21:00","3F, Roppongi Hills Residence B, 6-12-2 Roppongi, Minato-ku, Tokyo",Annual and weekly closingClosed Wednesday
one star,TEL03-3543-1711,Tsukiji Suzuki,n/a,"PriceDinner = menu &yen10;,800Service charge = 10%","Opening hours, last ordersDinner = 18:00-23:00","1-3-2 Tsukiji, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-3710-3696,Kappo Suzuki,URLhttp://www.kappou.jp,"PriceLunch = menu &yen6;,480Dinner = menu &yen10;,800-16,200","Opening hours, last ordersLunch = 12:00-14:00 L.O.12:30Dinner = 18:00-22:00 L.O.21:00","2-16-3 Takaban, Meguro-ku, Tokyo",Annual and weekly closingClosed Monday
one star,TEL03-3350-1178,Suzunari,n/a,"PriceDinner = menu &yen4;,860-16,200Service charge = 10%","Opening hours, last ordersDinner = 18:00-24:00 L.O.22:00","7 Arakicho, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
two stars,TEL03-3289-5331,Zurriola,URLhttp://zurriola.jp,"PriceLunch = menu &yen5;,940-8,424Dinner = menu &yen14;,580-18,900Service charge = 10%Private room fee = 5,400","Opening hours, last ordersLunch = 11:30-13:00 (L.O.)Dinner = 18:00-21:00 (L.O.)","4F, Kojun Bldg, 6-8-7 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Monday
one star,TEL03-6380-0978,Seika Kobayashi,n/a,"PriceLunch = menu &yen18;,000-32,000Dinner = menu &yen23;,000-32,000Service charge = 10% (Private room 15%)","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-21:00 (L.O.)","10-17 Arakicho, Shinjuku-ku, Tokyo",n/a
two stars,TEL03-3451-8320,Seizan,URLhttp://www.seizan-mita.com,"PriceLunch = menu &yen6;,260-16,200Dinner = menu &yen16;,200Service charge = 10% (dinner)","Opening hours, last ordersLunch = Thursday-Sunday 12:00-14:30 L.O.12:30Dinner = 17:30-23:00 L.O.21:30","B1F, Grande Mita, 2-17-29 Mita, Minato-ku, Tokyo",Annual and weekly closingClosed Monday
one star,TEL03-3546-2622,Seiju,n/a,"PriceDinner = menu &yen16;,200Service charge = 5%","Opening hours, last ordersDinner = 17:00-21:00 (L.O.)","B1F, Urban Mates Bldg, 3-16-9 Tsukiji, Chuo-ku, Tokyo",Annual and weekly closingClosed Monday
