rating,tel,name,,price,hours,address,LAT,LONG,holiday
one star,TEL075-211-1366,Shoku Kobo Hirosaki,n/a,"Dinner Y16,200Service charge = 5%","Opening hours, last ordersDinner = 17:00-20:00 (L.O.)","1F, Villa Muromachi, 282 Aioicho, Takeyamachi-dori Koromonotana Higashi-iru, Nakagyo-ku, Kyoto",35.009077,135.757928,n/a
Bib Gourmand,TEL075-255-3938,Tsuneyadensuke,n/a,"Dinner Y4,000-6,000Seat charge = &yen648;","Opening hours, last ordersDinner = 17:30-23:30","Minamikado Nijohigashi Sakaimachi-dori, Nakagyo-ku, Kyoto",35.0092254,135.7632255,Annual and weekly closingClosed Sunday except before a Public Holiday and Public Holiday Mondays
Bib Gourmand,TEL075-213-5046,Trattoria Saltinbanco,http://saltinbanco.jp,"Lunch Y1,836-3,456Dinner Y5,400-7,560carte &yen4,500-6,000","Opening hours, last ordersLunch = 11:30-14:00 (L.O.)weekends 12:00-14:30 (L.O.)Dinner = 18:00-22:00 (L.O.)","1F, Belle Maison, 460 Kanabukicho, Oshikoji-dori Ryogaemachi Nishi-iru, Nakagyo-ku, Kyoto",35.009241,135.75891,"Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday) and 3rd Tuesday (unless Public Holiday, then Wednesday)"
Bib Gourmand,TEL075-212-7713,Comme Chez Michel,http://www.commechezmichel.com/,"Lunch Y2,268-6,264Dinner Y4,536-9,180, Dinner = carte &yen5,000-9,000","Opening hours, last ordersLunch = 12:00-14:00 (L.O.)Dinner = 18:00-21:00 (L.O.)","80-1 Yanagihachimancho, Yanaginobamba-dori Oike-sagaru, Nakagyo-ku, Kyoto",35.009875,135.764043,"Annual and weekly closingClosed Wednesday (unless Public Holiday, then Thursday)"
one star,TEL075-223-3200,Muromachi Wakuden,http://www.wakuden.jp,"PriceLunch = menu weekdays &yen4,000-25,000weekends &yen7,000-25,000, Dinner Y13,000-25,000Private room fee = &yen3,000","Opening hours, last ordersLunch = 11:30-15:00 L.O.13:30, Dinner = 17:30-22:00 L.O.20:00","Sakaimachi-dori Oike-sagaru Higashigawa, Nakagyo-ku, Kyoto",35.010145,135.763276,Annual and weekly closingClosed Tuesday except April and November
three stars,TEL075-221-5511,Isshisoden Nakamura,http://www.kyoryori-nakamura.com,"Lunch Y16,200-21,600, Dinner Y21,600-32,400Service charge = 15%","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 17:00-19:30 (L.O.)","Tominokoji Oike-sagaru, Nakagyo-ku, Kyoto",35.0103723,135.7649269,n/a
Bib Gourmand,TEL075-221-4604,Eitaroya,n/a,"Dinner Y4,000-6,000Seat charge = &yen650;","Opening hours, last ordersDinner = 17:30-23:00 L.O.22:00","448 Tatsuikecho, Oike-dori Karasuma Nishi-iru Kitagawa, Nakagyo-ku, Kyoto",35.0106087,135.7585246,Annual and weekly closingClosed Sunday
three stars,TEL075-771-4116,Hyotei,http://www.hyotei.co.jp,"Lunch Y23,000-42,000, Dinner menu &yen27,000-42,000","Opening hours, last ordersLunch = 11:30-14:30 (L.O.)Dinner = 13:30-19:30 (L.O.)","35 Nanzenji-kusagawacho, Sakyo-ku, Kyoto",35.0113447,135.7865028,n/a
Bib Gourmand,TEL075-212-3200,Gochisoshiyo,n/a,"Dinner Y4,000-5,500Seat charge = &yen840;","Opening hours, last ordersDinner = 17:30-22:00 L.O.21:30","1F, Oshikoji Mansion, 646 Ogiyacho, Sakaimachi-dori Oike-agaru, Nakagyo-ku, Kyoto",35.0116891,135.763327,Annual and weekly closingClosed Tuesday and Wednesday
one star,TEL075-255-4477,Sakuragawa,http://www.kyoto-sakuragawa.jp,"Lunch Y5,400-7,560, Dinner Y12,960-21,600Service charge = 10% (lunch 5%)","Opening hours, last ordersLunch = 12:00-14:00 L.O.13:00, Dinner = 18:00-22:00 L.O.20:30","491 Kamikorikicho, Kiyamachi Nijo-sagaru, Nakagyo-ku, Kyoto",35.0117113,135.7710819,Annual and weekly closingClosed Sunday
one star,TEL075-212-7800,Iwasaki,n/a,"Lunch Y5,400-10,800, Dinner Y10,800-21,600Service charge = 5%","Opening hours, last ordersLunch = 12:00-14:00 L.O.13:00, Dinner = 18:00-21:00 L.O.19:30","723 Shimomatsuyacho, Kamanza-dori Oike-agaru, Nakagyo-ku, Kyoto",35.0118752,135.7558554,Annual and weekly closingClosed Sunday
two stars,TEL075-231-3556,Takeyamachi Mita,n/a,"Dinner Y35,000-50,000","Opening hours, last ordersDinner = 17:00-22:00 L.O.20:30","667-1 Kuen inmaecho, Teramachi-dori Takeyacho-sagaru, Nakagyo-ku, Kyoto",35.0122502,135.7626659,n/a
one star,TEL075-231-0709,Moto跳,http://www.kyoto-motoi.com,"Lunch Y7,830-16,740, Dinner Y14,580-28,080Service charge = 10%","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.)","186 Tawarayacho, Tominokoji Nijo-sagaru, Nakagyo-ku, Kyoto",35.0127279,135.7649213,Annual and weekly closingClosed Wednesday and Thursday
Bib Gourmand,TEL075-223-2230,Yoshoku Ogata,n/a,"Lunch Y1,580-4,500, Dinner = carte &yen4,000-6,500Seat charge = &yen324; (dinner)","Opening hours, last ordersLunch = 11:30-14:30 L.O.13:30, Dinner = 17:30-22:00 L.O.21:00","32-1 Tojijicho, Yanaginobamba, Oshikoji-agaru, Nakagyo-ku, Kyoto",35.0128862,135.764038,Annual and weekly closingClosed Tuesday
three stars,TEL075-881-1101,Kitcho Arashiyama Honten,http://kyoto-kitcho.com/,"Lunch Y43,200-86,400, Dinner Y48,600-86,400","Opening hours, last ordersLunch = 11:30-15:00 L.O.12:30, Dinner = 17:00-21:00 L.O.19:00","58 Sagatenryuji-susukinobabacho, Ukyo-ku, Kyoto",35.0136378,135.6746479,Annual and weekly closingClosed Wednesday
Bib Gourmand,TEL075-708-2202,Nijo Kizuki,n/a,"Lunch Y1,620, Dinner Y3,780-8,100","Opening hours, last ordersLunch = 12:00-14:30 L.O.13:30, Dinner = 17:00-22:00 L.O.21:00","Nijodori Yanagibaba Higashi-iru, Nakagyo-ku, Kyoto",35.0136601,135.7616176,Annual and weekly closingClosed Sunday
Bib Gourmand,TEL075-533-7665,Gion Rohan,n/a,"Dinner Y4,800-6,400carte &yen4,000-10,000Seat charge &yen864; (carte)","Opening hours, last ordersDinner = 17:00-22:30 (L.O.)","232 Niju-ikkencho, Yamatooji-dori Shijo-agaru, Higashiyama-ku, Kyoto",35.0142299,135.748218,Annual and weekly closingClosed Sunday except before a Public Holiday and Public Holiday Mondays
Bib Gourmand,TEL075-771-4831,Kyoudon Kisoba Okakita,http://www.kyoto-okakita.com/,"PriceLunch/Dinner = carte &yen850-2,000","Opening hours, last ordersLunch/Dinner = 11:00-20:00 (L.O.)","34 Okazakiminamigoshocho, Sakyo-ku, Kyoto",35.0143548,135.7848237,"Annual and weekly closingClosed Tuesday and 1st, 2nd & 3rd Wednesday of the month"
Bib Gourmand,TEL075-751-0677,Yamamotomenzo,n/a,"Lunch Y630-1,500","Opening hours, last ordersLunch = 11:00-18:00 (L.O.)Wednesday 11:00-14:30 (L.O.) or when the day's stock runs out","34 Okazaki-minamigoshocho, Sakyo-ku, Kyoto",35.0143548,135.7848237,Annual and weekly closingClosed 4th Wednesday and Thursday
one star,TEL075-213-2250,Hokkoriya,n/a,"Dinner Y3,500-5,000","Opening hours, last ordersDinner = 17:00-21:30 L.O.21:00","2F, New Toyo Kaikan, Kaburenjomae, Pontocho-dori Sanjo-sagaru, Nakagyo-ku, Kyoto",35.0143818,135.7806701,"Annual and weekly closingClosed Sunday, Monday and 3rd Tuesday"
Bib Gourmand,TEL075-286-9242,Soba Rojina,http://www.roujina.jp,"Lunch Y880-3,000, Dinner Y3,200carte &yen880-3,000","Opening hours, last ordersLunch = 11:30-14:30 or when the day壽猻 stock runs outDinner = 17:30-20:30 or when the day壽猻 stock runs out","691 Maruyacho, Ebisugawa-dori Teramachi Nishi-iru, Nakagyo-ku, Kyoto",35.015036,135.7668794,Annual and weekly closingClosed Monday
Bib Gourmand,TEL075-231-8550,Blanc Pierre,http://www.blanc-pierre.net,"Lunch Y2,160-4,860, Dinner Y3,456-8,640carte &yen4,500-6,500","Opening hours, last ordersLunch = 11:30-14:00 (L.O.)Dinner = 18:00-23:00 L.O.21:30","577 Matsumotocho, Gokomachi-dori Ebisugawa-agaru, Nakagyo-ku, Kyoto",35.0154221,135.7666988,Annual and weekly closingClosed Tuesday
Bib Gourmand,TEL075-882-9725,Shigetsu,http://www.tenryuji.com,"Lunch Y3,000-7,000","Opening hours, last ordersLunch = 11:00-14:00 (L.O.)","68 Sagatenryuji-susukinobabacho, Ukyo-ku, Kyoto",35.015648,135.6737481,Annual and weekly closingClosed 30 October
Bib Gourmand,TEL075-871-5226,Hirokawa,http://www.unagi-hirokawa.jp,"Lunch Y3,900-9,600carte &yen2,500-9,000, Dinner Y3,900-9,600carte &yen2,500-9,000Private room fee = &yen1,000/group Seat charge = &yen1,000/group (2nd floor )","Opening hours, last ordersLunch = 11:00-13:30 (L.O.)Dinner =17:00-20:00 (L.O.)","44-1 Sagatenryuji-kitatsukurimichicho, Ukyo-ku, Kyoto",35.0169771,135.6772782,Annual and weekly closingClosed Monday
one star,TEL075-223-2337,Reine des Pr泰s,http://reine-des-pres.com,"Lunch Y6,048Dinner Y12,960-21,600Service charge = 7%","Opening hours, last ordersLunch = 11:30-15:30 L.O.13:30, Dinner = 18:00-20:00 (L.O.)","537-1 Komanocho, Nakamachi-dori Marutamachi-sagaru, Kamigyo-ku, Kyoto",35.0172803,135.7704541,"Annual and weekly closingClosed Wednesday (unless Public Holiday, then Thursday) and 2nd & 3rd Thursday"
one star,TEL075-229-6769,Hiwatashi,n/a,"Lunch Y8,640-21,600, Dinner Y16,200-21,600Service charge = 10%","Opening hours, last ordersLunch = 12:00-14:00 L.O.13:00, Dinner = 18:00-21:00 L.O.19:30","5-496-2 Sanbongi, Higashinotoin-dori Takeyamachi-sagaru, Nakagyo-ku, Kyoto",35.0173496,135.7526083,n/a
Bib Gourmand,TEL075-212-7787,Teuchi Hanamomo,http://www.adc-net.jp/hanamomo/,"Lunch Y770-2,500","Opening hours, last ordersLunch = 11:00-18:30 or when the day's stock runs out","398 Konbuyacho Marutamachi Fuyacho Nishi-iru, Nakagyo-ku, Kyoto",35.0173969,135.7656628,Annual and weekly closingClosed Monday except Public Holidays and 4th Sunday
Bib Gourmand,TEL075-882-2418,Inoue,n/a,"Dinner Y4,000-6,000","Opening hours, last ordersDinner = 17:00-23:00","18-4 Sagatenryuji-kurumamichicho, Ukyo-ku, Kyoto",35.0174819,135.6803754,Annual and weekly closingClosed Sunday and 3rd Monday
one star,TEL075-861-0604,Okina,n/a,"Lunch Y6,480-16,200carte &yen3,000-10,000, Dinner menu &yen10,800-16,200carte &yen3,000-10,000","Opening hours, last ordersLunch = 11:30-14:00 (L.O.)Dinner = 17:00-20:00 (L.O.)","11 Sagashakado-daimoncho, Ukyo-ku, Kyoto",35.0182746,135.7577467,"Annual and weekly closingClosed Wednesday (unless Public Holiday, then Thursday)"
Bib Gourmand,TEL075-748-1539,Shokudo Hokage,n/a,"Dinner Y4,000-6,000","Opening hours, last ordersDinner = 18:00-23:00 L.O.22:00","273-1 Demizucho, Kawaramachi-dori Marutamachi-agaru, Kamigyo-ku, Kyoto",35.0192884,135.7692569,Annual and weekly closingClosed Monday
Bib Gourmand,TEL075-708-2926,Salumeria,http://salumeria-2015.com,"Lunch Y1,780, Dinner = carte &yen3,000-5,000","Opening hours, last ordersLunch = weekends 12:00-15:00 L.O.14:00, Dinner = 18:00-2:00Friday & weekends 18:00-24:00","258 Demizucho Kamigyo-ku, Kyoto",35.0192884,135.7692569,n/a
two stars,TEL075-366-3138,Oryori Mitsuyasu,n/a,"Lunch Y5,400-10,800, Dinner Y10,800-16,200","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-19:00 (L.O.)","908-12 Koyamacho, Sembon-dori Marutamachi-agaru Futasujime Higashi-iru, Kamigyo-ku, Kyoto",35.0194825,135.7419508,Annual and weekly closingClosed Sunday
two stars,TEL075-771-7777,Suzue,n/a,"Dinner Y35,000-50,000","Opening hours, last ordersDinner = 17:00-20:00 (L.O.)","Jingumichi Niomon Shirakawa Minami-iru, Okazaki, Sakyo-ku, Kyoto",35.021332,135.782308,n/a
two stars,TEL075-441-5020,Yusokuryori Mankamero,http://www.mankamerou.com,"Lunch Y10,800-27,000, Dinner Y16,200-27,000Service charge = 15%","Opening hours, last ordersLunch = 12:00-14:30 (L.O.)Dinner =14:30-19:30 (L.O.)","387 Ebisucho, Inokuma-dori Demizu-agaru, Kamigyo-ku, Kyoto",35.0221325,135.7504333,n/a
two stars,TEL075-276-1630,Kyotenjin Noguchi,n/a,"Lunch Y8,640-17,300, Dinner Y17,300-24,900","Opening hours, last ordersLunch = By reservation onlyDinner = 17:30-21:00 (L.O.)","573-11 Kitamachi, Tenjinmichi Kaminoshimodachiuri-agaru, Kamigyo-ku, Kyoto",35.0227652,135.7336181,Annual and weekly closingClosed Monday except Public Holidays
two stars,TEL075-752-3500,Sojiki Nakahigashi,n/a,"Lunch Y6,480-8,640, Dinner Y10,800-19,440","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-19:00 (L.O.)","32-3 Jodojiishibashicho,  Sakyo-ku, Kyoto",35.027595,135.792715,Annual and weekly closingClosed Monday and last Tuesday
one star,TEL075-708-7519,Nakazen,http://www.ohhara-nakazen.com,"Lunch Y5,184-12,960, Dinner Y9,180-12,960","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-24:00 L.O.22:00","26 Kitashirakawa-kubotacho, Sakyo-ku, Kyoto",35.0283804,135.7904203,"Annual and weekly closingClosed Wednesday (unless Public Holiday, then Thursday)"
one star,TEL075-771-4447,Ryozanpaku,http://www.ryozanpaku.co.jp,"Lunch Y5,940-14,040, Dinner Y14,040-27,000Service charge = 10%","Opening hours, last ordersLunch = 12:00-14:30 L.O.13:30, Dinner = 17:30-21:30 L.O.19:30","5 Yoshidaizumidonocho, Sakyo-ku, Kyoto",35.028657,135.7783756,Annual and weekly closingClosed Sunday except before a Public Holiday and Public Holiday Mondays
Bib Gourmand,TEL075-432-2202,Sakuya,n/a,"Lunch Y950;Dinner Y5,400carte &yen4,000-6,000Seat charge = &yen500; (淌 la carte)","Opening hours, last ordersLunch = Wednesday-Sunday 11:30-14:00 or when the day壽猻 stock runs outDinner = 18:00-22:00 (L.O.)","1F, Imadegawa View Heights, 176 Motokitakojicho, Kamigyo-ku, Kyoto",35.0297873,135.7475445,Annual and weekly closingClosed Monday except Public Holidays
one star,TEL075-746-4375,Kokyu,http://www.kokyu-kyoto.com,"Lunch Y5,750-25,000, Dinner Y17,250-25,000","Opening hours, last ordersLunch = 11:00-13:15 (L.O.)Dinner = 18:00-19:30 (L.O.)","204 Seiryucho, Kamigyo-ku, Kyoto",35.0300291,135.7700317,Annual and weekly closingClosed Monday
Bib Gourmand,TEL075-702-3905,Kitchen Gorilla,n/a,"Lunch Y900-3,500, Dinner = carte &yen900-3,500","Opening hours, last ordersLunch = 11:30-14:15 (L.O.)weekends 11:00-14:15 (L.O.)Dinner = 17:30-21:15 (L.O.)","17-3 Tanaka-hinokuchicho, Sakyo-ku, Kyoto",35.034482,135.784122,n/a
one star,TEL075-432-5765,Nishijin Fujiyoshi,n/a,"Lunch Y3,500menu &yen5,500-10,800","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-19:30(L.O.)","626-14 Kamitenjincho, Horikawa-dori Teranouchi-agaru Sanchome, Kamigyo-ku, Kyoto",35.0364562,135.7512273,n/a
three stars,TEL075-711-6121,Kyokaiseki Kichisen,http://www.kichisen-kyoto.com,"PriceLunch = menu weekdays &yen9,720-33,480Jan, Apr, Nov and weekends &yen11,880-33,480, Dinner = menu weekdays &yen16,200-33,480Jan, Apr, Nov and weekends&yen19,440-33,480Service charge = 10%","Opening hours, last ordersLunch = 12:00-14:30 L.O.12:30, Dinner = 18:00-22:00 L.O.19:30","5 Shimogamo-morimotocho, Sakyo-ku, Kyoto",35.0370452,135.7711676,n/a
Bib Gourmand,TEL075-494-0500,Itsutsu,http://www.wakuden.jp/,"Lunch Y3,780carte &yen1,080-3,000, Dinner Y5,940-10,800carte &yen1,080-3,000","Opening hours, last ordersLunch = 11:30-15:30 L.O.15:00 or when the day壽猻 stock runs outDinner = 17:30-22:00 L.O.21:00 or when the day壽猻 stock runs out","28 Murasakino-unrinincho, Kita-ku, Kyoto",35.0408584,135.7476054,Annual and weekly closingClosed Thursday
one star,TEL075-491-6607,Fuguryori Tomoe,http://www.fugutomoe.com,"Dinner Y15,120-27,000","Opening hours, last ordersDinner = 17:00-22:00","Kitaoji-dori Senbon Higashi-iru Kitagawa, Kita-ku, Kyoto",35.0408701,135.7385506,Annual and weekly closingClosed June-August
Bib Gourmand,TEL075-495-3344,Utakata,n/a,"Dinner Y4,500-6,000carte &yen4,000-5,000","Opening hours, last ordersDinner = 18:00-22:30","53 Shichikunishi-momonomotocho, Kita-ku, Kyoto",35.041053,135.7539826,n/a
Bib Gourmand,TEL075-491-1087,Kyo Shunsairyori Jiro,n/a,"Lunch Y2,200-2,750, Dinner menu &yen3,850-4,350carte &yen3,500-5,000Seat charge &yen540; (淌 la carte)","Opening hours, last ordersLunch = 12:00-14:30 L.O.13:00, Dinner = 17:00-23:00 L.O.22:00","48 Koyama-hatsunecho, Kita-ku, Kyoto",35.041053,135.7539826,"Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
Bib Gourmand,TEL075-461-7277,Kuronekoken,n/a,"Dinner Y4,104-5,400carte &yen2,000-3,500","Opening hours, last ordersDinner = 17:30-22:00 L.O.21:30","35-4 Hiranokamihacchoyanagicho, Kita-ku, Kyoto",35.041053,135.7539826,Annual and weekly closingClosed Monday and following day of 1st & 3rd Tuesday
one star,TEL075-491-0220,Kitaoji Otagi,n/a,"Dinner Y10,800","Opening hours, last ordersDinner = 17:30-20:00 (L.O.)","8-101 Koyama-kitakamifusacho, Kita-ku, Kyoto",35.041053,135.7539826,Annual and weekly closingClosed Wednesday
Bib Gourmand,TEL075-441-8283,Teuchisoba Kanei,n/a,"PriceLunch = carte &yen1,500-4,000, Dinner carte &yen1,500-4,000","Opening hours, last ordersLunch = 11:30-14:30 (L.O.)Dinner = 17:00-19:00 (L.O.) or when the day's stock runs out","11-1 Murasakino-higashi fujinomoricho, Kita-ku, Kyoto",35.0433424,135.7515383,"Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
Bib Gourmand,TEL075-441-8388,Wasabi,n/a,"Dinner Y3,000-5,000","Opening hours, last ordersDinner = 17:00-22:00","1F, Rumon Murasakino, 10-3 Murasakino-miyahigashicho, Kita-ku, Kyoto",35.0433424,135.7515383,Annual and weekly closingClosed 1 January
Bib Gourmand,TEL075-751-1188,Niomon Uneno,http://odashi.com/udon/,"Lunch Y850-2,000, Dinner Y4,500carte &yen850-2,000","Opening hours, last ordersLunch = 11:30-15:30 L.O.15:00, Dinner = 16:30-19:30 L.O.19:00 or when the day壽猻 stock runs out","41 Shinmarutamachi, Sakyo-ku, Kyoto",35.0485688,135.7785475,Annual and weekly closingClosed 3rd Wednesday and Thursday
one star,TEL075-495-8281,Ogawa,n/a,"PriceLunch =carte &yen1,030-4,000","Opening hours, last ordersLunch = 11:30-15:00  (L.O.) or when the day壽猻 stock runs out","25 Shimoshibamotocho, Shichiku, Kita-ku, Kyoto",35.04998,135.749333,"Annual and weekly closingClosed Thursday (unless Public Holiday, then Friday)"
Bib Gourmand,TEL075-781-6551,Kyo Kamigamo Mankawa,http://mankawa.jp,"Lunch Y1,390-2,800, Dinner Y3,860-5,600","Opening hours, last ordersLunch = 12:00-15:00 L.O.14:00, Dinner = 18:00-22:00 L.O.21:00","56-3 Kamigamo-shobuencho, Kita-ku, Kyoto",35.054154,135.756446,Annual and weekly closingClosed Thursday
Bib Gourmand,TEL075-791-3211,Kushi Umeda,n/a,"Dinner Y4,000-5,400","Opening hours, last ordersDinner = 17:00-22:00 (L.O.)","30-3 Kamigamo-shobuencho, Kita-ku, Kyoto",35.0544597,135.7557185,Annual and weekly closingClosed Friday
one star,TEL075-711-5136,Kamigamo Akiyama,n/a,"Lunch Y4,530, Dinner Y10,800-13,500","Opening hours, last ordersLunch = 12:00-14:30 L.O.12:30, Dinner = 18:30-22:00 L.O.19:30","58 Kamigamo-okamotocho, Kita-ku, Kyoto",35.0581565,135.7628819,Annual and weekly closingClosed Wednesday and last Thursday
Bib Gourmand,TEL075-701-9417,Kushi Tabito,n/a,"Dinner Y1,400-4,360Seat charge &yen400;","Opening hours, last ordersDinner = 17:00-22:30 L.O.21:30","10-38 Kamigamo-imaigawaracho, Kita-ku, Kyoto",35.0592809,135.7525297,"Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday) and 3rd Tuesday except Public Holidays"
two stars,TEL075-491-8965,Fukiage,n/a,"Dinner Y37,800","Opening hours, last ordersDinner = 17:00-23:00","23-3 Nishigamo-imaharacho, Kita-ku, Kyoto",35.064303,135.738445,n/a
two stars,TEL075-525-6665,Sumibi Kappo Ifuki,n/a,"Dinner Y15,660-28,620","Opening hours, last ordersDinner = 17:00-23:00 L.O.21:30","Shijo Hanamikoji-minamigawa Yonsujime Higashi-iru Rokkenme, Higashiyama-ku, Kyoto",35.2025778,135.6475634,Annual and weekly closingClosed Tuesday
one star,TEL075-252-1199,Naruya,n/a,"Dinner Y14,040-21,600","Opening hours, last ordersDinner = 18:00-20:30 (L.O.)","539-1 Sakaimachi Nishikikoji-agaru, Nakagyo-ku, Kyoto",43.1960807,141.0031082,n/a
Bib Gourmand,TEL075-251-1865,Hikari-Yurari,n/a,"Dinner Y4,500-6,500Seat charge = &yen324;","Opening hours, last ordersDinner = 18:00-23:00 L.O.22:00","B1F, Vineork Twelve, 611-1 Tachibanacho, Oshikoji-dori Fuyacho Higashi-iru , Nakagyo-ku, Kyoto",,,"Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
Bib Gourmand,TELNone,Menya Inoichi,n/a,"Lunch Y800-1,500, Dinner = carte &yen800-1,500","Opening hours, last ordersLunch = 11:30-14:00, Dinner = 17:30-22:00 or when the day's stock runs out","528 Ebisunocho, Teramachi Bukkoji-sagaru, Shimogyo-ku, Kyoto",,,"Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
Bib Gourmand,TEL075-201-6262,Shiki,http://www.shikikyoto.com,"Dinner Y5,500carte &yen3,500-5,500Seat charge = &yen900; (淌 la carte)","Opening hours, last ordersDinner = 17:30-23:00 L.O.22:30","137 Sakyocho, Oshikoji-dori Takakura Nishi-iru, Nakagyo-ku, Kyoto",,,Annual and weekly closingClosed Monday
Bib Gourmand,TEL075-343-5345,Midori,http://www.midori-kyoto.jp,"Lunch Y850-6,000, Dinner Y5,400-10,800carte &yen4,000-6,000Seat charge = &yen500; (淌 la carte for dinner)","Opening hours, last ordersLunch = 12:00-14:00 L.O.13:30, Dinner = 18:00-23:30 L.O.23:00","2F, Ebisu Terrace, 528 Ebisunocho, Teramachi-dori Bukkoji-sagaru, Shimogyo-ku, Kyoto",,,Annual and weekly closingClosed Wednesday and 4th Tuesday
Bib Gourmand,TEL075-754-8827,Ichihana,n/a,"Lunch Y1,940, Dinner Y3,780-9,180carte &yen4,000-6,000Seat charge = &yen600; (淌 la carte)","Opening hours, last ordersLunch = 12:00-15:00 (L.O.)Dinner = 17:00-21:30 (L.O.)","264-1 Nijoaburanokojicho, Aburanokoji Oshikoji Nishi-iru, Nakagyo-ku, Kyoto",,,Annual and weekly closingClosed Sunday
Bib Gourmand,TEL075-752-2249,Section d'Or,n/a,"Lunch Y1,900, Dinner = carte &yen1,900","Opening hours, last ordersLunch = 11:30-13:30 (L.O.)Dinner = 17:30-20:00 (L.O.)","Japan, 〒606-8341 Kyoto Prefecture, Kyoto, Sakyo Ward, Okazaki Nishitennocho, 84-1 M&M's APARTMENT",,,Annual and weekly closingClosed Tuesday except Public Holidays
Bib Gourmand,TEL075-754-8598,Shiotaimeshi Daikoku,n/a,"Lunch Y2,200-5,400carte &yen4,000-8,000, Dinner Y7,000-10,800carte &yen4,000-8,000Seat charge = &yen500; (淌 la carte for dinner)","Opening hours, last ordersLunch = 11:00-15:00 (L.O.)Dinner = 17:00-21:00 (L.O.) or when the day壽猻 stock runs out","58 Shimobentencho, Higashiyama-ku, Kyoto",34.9991617,135.7779078,"Annual and weekly closingClosed Wednesday (unless Public Holiday, then Thursday)"
Bib Gourmand,TEL075-761-6765,Pizzeria Napoletana da Yuki,http://www.da-yuki.com,"Lunch Y2,000-5,000, Dinner = carte &yen2,000-5,000","Opening hours, last ordersLunch = 12:00-14:30 (L.O.)Dinner = 18:00-22:00 (L.O.)","36-3 Okazaki-enshojicho, Sakyo-ku, Kyoto",35.0116756,135.7806234,"Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
Bib Gourmand,TEL075-708-3606,Cenetta Barba,http://www.cenettabarba.com,"Lunch Y3,024Dinner = carte &yen2,500-5,000","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 17:30-21:00 (L.O.)","642 Nioitenjincho, Takatsuji-dori Karasuma Higashi-iru, Shimogyo-ku, Kyoto",34.9934853,135.7315298,Annual and weekly closingClosed Tuesday
Bib Gourmand,TEL075-432-8818,Ramen Tohichi,n/a,"Lunch Y750-1,300, Dinner = carte &yen750-1,300","Opening hours, last ordersLunch = 11:00-14:30 (L.O.)Dinner = 18:00-21:30 (L.O.)","1F, Cerulean Heights, 33-6 Omiyakita-hakonoicho, Kita-ku, Kyoto",35.041053,135.7539826,Annual and weekly closingClosed Tuesday
Bib Gourmand,TEL075-465-0309,Hakurakukajosai,http://www.hakuraku.com,"Dinner Y4,104-10,800carte &yen3,000-5,000","Opening hours, last ordersDinner = 17:00-22:00 L.O.21:30","85-2 Kitano-nishihakubaicho, Kita-ku, Kyoto",35.0258122,135.7313813,Annual and weekly closingClosed Thursday
Bib Gourmand,TEL075-351-1881,Washoku Haru,n/a,"Dinner Y4,000-6,000Seat charge = &yen432;","Opening hours, last ordersDinner = 17:00-23:30weekends 16:00-23:30","Ayanokoji-dori Takakura Nanseikado, Shimogyo-ku, Kyoto",35.0025222,135.762595,"Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
Bib Gourmand,TEL075-746-2444,Pinyo Shokudo,n/a,"Lunch Y850-1,500, Dinner = carte &yen850-1,500","Opening hours, last ordersLunch = 11:30-14:00 (L.O.) or when the day壽猻 stock runs outDinner = 17:30-21:30 (L.O.) or when the day壽猻 stock runs out","18-3 Magohashicho, Sakyo-ku, Kyoto",35.011869,135.772568,Annual and weekly closingClosed Thursday
Bib Gourmand,TEL075-533-7133,Gyoza Hohei,n/a,"Dinner Y1,000-2,000","Opening hours, last ordersDinner = 18:00-3:00 L.O.2:30","373-3 Kiyomotocho, Higashiyama-ku, Kyoto",35.0052411,135.7745133,Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL075-771-0855,La Petite Sc态ne,http://www.lapetitscene.com,"Lunch Y1,400-1,500, Dinner = carte &yen3,500-6,000","Opening hours, last ordersLunch = 11:30-14:30 (L.O.)Dinner = 18:00-21:30 (L.O.)","1F, Kadoya Mansion, 519-3 Higashimonzencho, Furukawacho-suji Niomon-sagaru, Sakyo-ku, Kyoto",35.0104115,135.7782952,Annual and weekly closingClosed Thursday
